player_name,OVERALL_PICK,Totals_FG,Totals_FT,Totals_TRB,Totals_BLK,Totals_STL,Totals_TOV,Totals_PF,Shooting_FG%,MP,Age
Rodney Carney,16,220,94,158,25.0,49.0,54.0,84.0,0.436,1007.0,21.0
Shawne Williams,17,156,114,222,49.0,50.0,81.0,105.0,0.416,982.0,19.0
Quincy Douby,19,287,149,141,27.0,58.0,92.0,61.0,0.462,1211.0,21.0
Renaldo Balkman,20,152,56,239,48.0,65.0,65.0,84.0,0.608,978.0,21.0
Rajon Rondo,21,147,68,209,5.0,69.0,79.0,70.0,0.482,1054.0,19.0
Marcus Williams,22,83,94,89,5.0,21.0,85.0,38.0,0.407,767.0,20.0
Josh Boone,23,137,76,238,69.0,13.0,42.0,72.0,0.564,922.0,21.0
Kyle Lowry,24,117,121,143,8.0,77.0,70.0,94.0,0.466,967.0,19.0
Shannon Brown,25,202,117,150,5.0,50.0,85.0,78.0,0.467,1196.0,20.0
Jordan Farmar,26,172,91,95,9.0,41.0,135.0,63.0,0.41,1125.0,19.0
Maurice Ager,28,226,121,139,11.0,23.0,87.0,81.0,0.457,1170.0,21.0
Mardy Collins,29,202,90,150,6.0,89.0,65.0,71.0,0.432,1212.0,21.0
James White,31,71,20,86,17.0,27.0,48.0,61.0,0.42,615.0,19.0
James White,31,177,134,167,28.0,36.0,77.0,89.0,0.488,1104.0,23.0
Steve Novak,32,173,74,183,4.0,18.0,32.0,64.0,0.477,1047.0,22.0
Solomon Jones,33,139,105,285,89.0,25.0,101.0,99.0,0.484,1056.0,21.0
Paul Davis,34,206,160,301,29.0,34.0,81.0,103.0,0.566,1018.0,21.0
P.J. Tucker,35,225,142,353,13.0,66.0,115.0,105.0,0.515,1276.0,20.0
Craig Smith,36,243,146,339,29.0,44.0,89.0,107.0,0.573,1305.0,22.0
Bobby Jones,37,113,88,163,17.0,40.0,66.0,104.0,0.473,874.0,22.0
David Noel,39,158,45,211,23.0,34.0,95.0,84.0,0.532,1045.0,21.0
Denham Brown,40,117,79,141,12.0,25.0,53.0,53.0,0.403,754.0,23.0
James Augustine,41,174,99,300,24.0,47.0,67.0,84.0,0.624,1079.0,21.0
Daniel Gibson,42,163,69,133,12.0,49.0,70.0,88.0,0.405,1228.0,19.0
Alexander Johnson,45,127,120,216,30.0,31.0,82.0,93.0,0.54,723.0,22.0
Dee Brown,46,157,78,102,1.0,53.0,94.0,61.0,0.359,1183.0,21.0
Paul Millsap,47,258,127,438,76.0,62.0,83.0,101.0,0.571,1126.0,20.0
Leon Powe,49,178,194,273,15.0,24.0,66.0,67.0,0.496,953.0,22.0
Ryan Hollins,50,83,65,157,29.0,7.0,38.0,84.0,0.619,710.0,21.0
Hassan Adams,54,234,58,155,14.0,82.0,69.0,60.0,0.478,1031.0,21.0
Will Blalock,60,177,60,99,2.0,65.0,89.0,55.0,0.447,1072.0,22.0
Greg Oden,1,189,123,306,105.0,18.0,64.0,87.0,0.616,925.0,19.0
Kevin Durant,2,306,209,390,67.0,66.0,99.0,71.0,0.473,1255.0,18.0
Al Horford,3,186,130,360,70.0,28.0,68.0,94.0,0.608,1058.0,20.0
Mike Conley,4,160,100,134,10.0,87.0,86.0,60.0,0.518,1231.0,19.0
Jeff Green,5,196,100,236,43.0,30.0,96.0,92.0,0.513,1232.0,20.0
Corey Brewer,7,169,112,173,15.0,69.0,93.0,72.0,0.475,1072.0,20.0
Brandan Wright,8,228,89,229,65.0,36.0,59.0,55.0,0.646,1013.0,19.0
Joakim Noah,9,173,132,337,72.0,45.0,100.0,90.0,0.607,1034.0,21.0
Spencer Hawes,10,193,74,197,54.0,16.0,78.0,70.0,0.532,896.0,18.0
Acie Law,11,216,144,113,1.0,39.0,88.0,83.0,0.5,1153.0,22.0
Thaddeus Young,12,177,52,151,12.0,39.0,67.0,61.0,0.478,917.0,18.0
Julian Wright,13,190,73,298,49.0,55.0,91.0,94.0,0.549,1048.0,19.0
Al Thornton,14,244,166,251,40.0,53.0,87.0,95.0,0.53,1092.0,23.0
Rodney Stuckey,15,227,215,135,9.0,71.0,98.0,68.0,0.453,965.0,20.0
Nick Young,16,239,125,171,10.0,27.0,90.0,92.0,0.525,1227.0,21.0
Sean Williams,17,63,56,104,75.0,21.0,35.0,48.0,0.548,483.0,20.0
Javaris Crittenton,19,158,108,119,2.0,65.0,124.0,67.0,0.45,1003.0,19.0
Jason Smith,20,175,154,304,47.0,16.0,102.0,94.0,0.579,905.0,20.0
Daequan Cook,21,141,46,167,10.0,28.0,56.0,66.0,0.445,770.0,19.0
Jared Dudley,22,195,142,248,10.0,42.0,78.0,66.0,0.562,1152.0,21.0
Wilson Chandler,23,194,70,235,47.0,22.0,55.0,96.0,0.45,1079.0,19.0
Morris Almond,25,263,241,210,24.0,38.0,109.0,68.0,0.483,1069.0,21.0
Aaron Brooks,26,213,115,149,6.0,48.0,89.0,88.0,0.46,1289.0,22.0
Arron Afflalo,27,210,101,99,8.0,22.0,64.0,66.0,0.461,1186.0,21.0
Alando Tucker,29,256,164,196,10.0,33.0,60.0,45.0,0.47,1181.0,22.0
Carl Landry,31,219,201,249,32.0,40.0,102.0,99.0,0.597,1035.0,23.0
Gabe Pruitt,32,104,68,73,7.0,47.0,48.0,56.0,0.416,861.0,20.0
Marcus Williams,33,196,82,200,23.0,33.0,80.0,66.0,0.494,987.0,20.0
Nick Fazekas,34,248,128,354,48.0,24.0,64.0,74.0,0.568,969.0,21.0
Glen Davis,35,178,139,303,28.0,32.0,82.0,67.0,0.484,1016.0,21.0
Jermareo Davidson,36,149,117,247,70.0,23.0,50.0,54.0,0.407,968.0,22.0
Josh McRoberts,37,164,97,260,82.0,39.0,80.0,83.0,0.502,1164.0,19.0
Chris Richard,41,98,52,147,12.0,13.0,47.0,92.0,0.69,726.0,22.0
Derrick Byars,42,85,37,105,6.0,19.0,43.0,84.0,0.467,648.0,19.0
Derrick Byars,42,206,86,165,4.0,48.0,80.0,81.0,0.457,1068.0,22.0
Adam Haluska,43,103,38,112,13.0,23.0,39.0,83.0,0.398,887.0,19.0
Adam Haluska,43,190,167,144,8.0,42.0,53.0,54.0,0.408,1070.0,23.0
Reyshawn Terry,44,130,65,204,24.0,27.0,69.0,85.0,0.494,817.0,22.0
Jared Jordan,45,197,116,194,2.0,45.0,110.0,54.0,0.425,1252.0,22.0
Dominic McGuire,47,85,31,138,31.0,16.0,52.0,53.0,0.497,649.0,19.0
Dominic McGuire,47,153,106,314,114.0,28.0,119.0,91.0,0.471,1054.0,21.0
