PLAYER_ID  ,FIRST_NAME ,LAST_NAME      ,cbb_url                                                                   ,Season  ,Team                   ,Conf      ,Class ,Pos ,G    ,GS   ,MP     ,FG    ,FGA   ,FG%   ,3P    ,3PA   ,3P%   ,2P    ,2PA   ,2P%   ,eFG%  ,FT    ,FTA   ,FT%   ,ORB   ,DRB   ,TRB   ,AST   ,STL   ,BLK   ,TOV   ,PF    ,PTS   ,Awards
12153      ,Charles    ,Hathaway       ,https://www.sports-reference.com/cbb/players/charles-hathaway-1.html      ,2000-01 ,Tennessee              ,SEC       ,SR    ,C   ,31   ,27   , 615   , 61   , 94   ,0.649 ,  0   ,  0   ,      , 61   , 94   ,0.649 ,0.649 , 35   , 58   ,0.603 , 57.0 , 91.0 ,148   , 16   , 12   , 44   , 42   , 63   ,157   ,
12033      ,Adam       ,Allenspach     ,https://www.sports-reference.com/cbb/players/adam-allenspach-1.html       ,2000-01 ,Clemson                ,ACC       ,SR    ,C   ,22   ,15   , 423   , 62   ,137   ,0.453 ,  0   ,  0   ,      , 62   ,137   ,0.453 ,0.453 , 46   , 68   ,0.676 , 40.0 , 80.0 ,120   , 11   ,  6   , 12   , 29   , 48   ,170   ,
12152      ,Kenny      ,Gregory        ,https://www.sports-reference.com/cbb/players/kenny-gregory-1.html         ,2000-01 ,Kansas                 ,Big 12    ,SR    ,G   ,30   ,30   , 950   ,204   ,360   ,0.567 , 22   , 57   ,0.386 ,182   ,303   ,0.601 ,0.597 , 39   , 92   ,0.424 , 99.0 ,121.0 ,220   , 72   , 31   ,  7   , 51   , 45   ,469   ,
12034      ,Cookie     ,Belcher        ,https://www.sports-reference.com/cbb/players/cookie-belcher-1.html        ,2000-01 ,Nebraska               ,Big 12    ,SR    ,G   ,30   ,30   ,1024   ,177   ,394   ,0.449 , 48   ,143   ,0.336 ,129   ,251   ,0.514 ,0.51  , 90   ,121   ,0.744 , 31.0 ,121.0 ,152   ,131   , 82   , 21   , 96   , 92   ,492   ,
2294       ,Charlie    ,Bell           ,https://www.sports-reference.com/cbb/players/charlie-bell-1.html          ,2000-01 ,Michigan State         ,Big Ten   ,SR    ,G   ,33   ,33   ,1034   ,150   ,373   ,0.402 , 52   ,152   ,0.342 , 98   ,221   ,0.443 ,0.472 , 94   ,122   ,0.77  , 32.0 ,123.0 ,155   ,169   , 33   ,  6   , 92   , 53   ,446   ,
12035      ,Calvin     ,Bowman         ,https://www.sports-reference.com/cbb/players/calvin-bowman-1.html         ,2000-01 ,West Virginia          ,Big East  ,SR    ,C   ,29   ,28   , 949   ,193   ,357   ,0.541 ,  0   ,  2   ,0.0   ,193   ,355   ,0.544 ,0.541 ,123   ,178   ,0.691 , 95   ,187   ,282   , 33   , 34   , 33   , 85   , 75   ,509   ,
12159      ,Zach       ,Marbury        ,https://www.sports-reference.com/cbb/players/zach-marbury-1.html          ,2000-01 ,Rhode Island           ,A-10      ,JR    ,G   ,29   ,28   , 970   ,160   ,351   ,0.456 , 27   ,114   ,0.237 ,133   ,237   ,0.561 ,0.494 ,144   ,210   ,0.686 , 34   , 83   ,117   , 76   , 47   ,  4   , 96   , 83   ,491   ,
12162      ,Troy       ,Ostler         ,https://www.sports-reference.com/cbb/players/troy-ostler-1.html           ,2000-01 ,Hawaii                 ,WAC       ,SR    ,F   ,28   ,25   , 826   ,155   ,313   ,0.495 ,  0   ,  3   ,0.0   ,155   ,310   ,0.5   ,0.495 ,124   ,176   ,0.705 , 47   ,118   ,165   , 62   , 10   , 51   , 70   , 65   ,434   ,
12161      ,DeMarcus   ,Minor          ,https://www.sports-reference.com/cbb/players/demarcus-minor-1.html        ,2000-01 ,Baylor                 ,Big 12    ,SR    ,G   ,31   ,31   ,1163   ,148   ,370   ,.400  , 21   , 64   ,.328  ,127   ,306   ,.415  ,.428  ,154   ,183   ,.842  , 33   ,150   ,183   ,141   , 44   ,  2   ,109   , 72   ,471   ,
12041      ,Michael    ,Wright         ,https://www.sports-reference.com/cbb/players/michael-wright-1.html        ,2000-01 ,Arizona                ,Pac-10    ,JR    ,F   ,36   ,36   ,1004   ,202   ,340   ,0.594 ,  0   ,  3   ,0.0   ,202   ,337   ,0.599 ,0.594 ,157   ,197   ,0.797 ,119.0 ,162.0 ,281   , 11   , 20   , 10   , 63   , 85   ,561   ,
12040      ,Brent      ,Wright         ,https://www.sports-reference.com/cbb/players/brent-wright-1.html          ,2000-01 ,Florida                ,SEC       ,SR    ,F   ,20   ,14   , 488   , 81   ,140   ,0.579 , 15   , 26   ,0.577 , 66   ,114   ,0.579 ,0.632 , 76   , 94   ,0.809 , 36.0 , 88.0 ,124   , 33   , 26   , 10   , 39   , 51   ,253   ,
12172      ,Souleymane ,Wane           ,https://www.sports-reference.com/cbb/players/souleymane-wane-1.html       ,2000-01 ,Connecticut            ,Big East  ,SR    ,C   ,29   ,28   , 591   , 53   ,110   ,0.482 ,  0   ,  0   ,      , 53   ,110   ,0.482 ,0.482 , 26   , 44   ,0.591 , 62   , 77   ,139   , 19   ,  9   , 26   , 31   , 78   ,132   ,
12151      ,Jerry      ,Green          ,https://www.sports-reference.com/cbb/players/jerry-green-1.html           ,2001-02 ,UC Irvine              ,Big West  ,SR    ,G   ,32   ,32.0 ,1160   ,212   ,440   ,0.482 , 47   ,128   ,0.367 ,165   ,312   ,0.529 ,0.535 ,180   ,219   ,0.822 , 23   ,101   ,124   ,129   , 47   ,  0   ,122   , 50   ,651   ,
12169      ,Greg       ,Stevenson      ,https://www.sports-reference.com/cbb/players/greg-stevenson-1.html        ,2000-01 ,Richmond               ,CAA       ,SR    ,F   ,29   ,27   ,1020   ,215   ,401   ,.536  , 48   , 99   ,.485  ,167   ,302   ,.553  ,.596  , 92   ,120   ,.767  , 65   ,158   ,223   , 48   , 40   , 27   , 55   , 54   ,570   ,
12168      ,Lee        ,Scruggs        ,https://www.sports-reference.com/cbb/players/lee-scruggs-1.html           ,2000-01 ,Georgetown             ,Big East  ,SR    ,C   ,24   , 0   , 329   , 64   ,170   ,0.376 , 24   , 73   ,0.329 , 40   , 97   ,0.412 ,0.447 , 27   , 36   ,0.75  , 45   , 60   ,105   , 14   , 10   , 26   , 28   , 52   ,179   ,
12167      ,Kenny      ,Satterfield    ,https://www.sports-reference.com/cbb/players/kenny-satterfield-1.html     ,2000-01 ,Cincinnati             ,CUSA      ,SO    ,G   ,35   ,34   ,1203   ,163   ,421   ,0.387 , 48   ,144   ,0.333 ,115   ,277   ,0.415 ,0.444 ,130   ,165   ,0.788 , 42   ,123   ,165   ,177   , 60   ,  6   ,111   , 89   ,504   ,
12166      ,Martin     ,Rancik         ,https://www.sports-reference.com/cbb/players/martin-rancik-1.html         ,2000-01 ,Iowa State             ,Big 12    ,SR    ,F   ,31   ,31   , 785   ,145   ,267   ,0.543 ,  2   ,  7   ,0.286 ,143   ,260   ,0.55  ,0.547 ,117   ,154   ,0.76  , 46.0 ,124.0 ,170   , 18   , 18   , 16   , 53   , 91   ,409   ,
12165      ,Demetrius  ,Porter         ,https://www.sports-reference.com/cbb/players/demetrius-porter-1.html      ,2000-01 ,Fresno State           ,WAC       ,SR    ,G   ,33   ,33.0 ,1029   ,162   ,367   ,0.441 , 86   ,222   ,0.387 , 76   ,145   ,0.524 ,0.559 , 91   ,118   ,0.771 , 24.0 , 53.0 , 77   , 97   , 57   ,  5   , 56.0 , 74.0 ,501   ,
12164      ,Rashad     ,Phillips       ,https://www.sports-reference.com/cbb/players/rashad-phillips-1.html       ,2000-01 ,Detroit Mercy          ,MW Coll   ,SR    ,G   ,35   ,35.0 ,       ,232   ,535   ,0.434 ,136   ,328   ,0.415 , 96   ,207   ,0.464 ,0.561 ,185   ,202   ,0.916 , 17.0 , 71.0 , 88   ,145   , 35   ,  0   ,122.0 , 51.0 ,785   ,
12160      ,Mike       ,Mardesich      ,https://www.sports-reference.com/cbb/players/mike-mardesich-1.html        ,2000-01 ,Maryland               ,ACC       ,SR    ,C   ,36   , 1   , 368   , 53   ,112   ,0.473 ,  0   ,  0   ,      , 53   ,112   ,0.473 ,0.473 , 24   , 45   ,0.533 , 39   , 53   , 92   , 16   ,  6   , 11   , 25   , 45   ,130   ,
12171      ,Tory       ,Walker         ,https://www.sports-reference.com/cbb/players/tory-walker-1.html           ,2000-01 ,New Orleans            ,Sun Belt  ,SR    ,F   ,29   ,26.0 , 888   ,183   ,373   ,0.491 , 61   ,140   ,0.436 ,122   ,233   ,0.524 ,0.572 , 65   , 85   ,0.765 , 49.0 , 87.0 ,136   , 41   , 41   , 27   , 62.0 , 73.0 ,492   ,
12031      ,SirValiant ,Brown          ,https://www.sports-reference.com/cbb/players/sirvaliant-brown-1.html      ,2000-01 ,George Washington      ,A-10      ,SO    ,G   ,31   ,26   , 966   ,174   ,471   ,0.369 , 50   ,170   ,0.294 ,124   ,301   ,0.412 ,0.423 ,138   ,192   ,0.719 , 25   , 60   , 85   , 55   , 46   ,  7   , 74   ,106   ,536   ,
12032      ,Ryan       ,Carroll        ,https://www.sports-reference.com/cbb/players/ryan-carroll-1.html          ,1999-00 ,Mississippi State      ,SEC       ,SO    ,F   , 4   , 0   ,  22   ,  1   ,  6   ,0.167 ,  0   ,  0   ,      ,  1   ,  6   ,0.167 ,0.167 ,  1   ,  1   ,1.0   ,  3.0 ,  2.0 ,  5   ,  0   ,  0   ,  1   ,  2   ,  4   ,  3   ,
